"respondent_id","block","profile","price_all","washes_all","donations_all","emissions_all","buy"
1,2,"12","€100","7 washes","no donations","72.6 ktons",0
1,2,"14","€165","57 washes","2% donated","carbon neutral",1
1,2,"15","€35","32 washes","no donations","37 ktons",0
1,3,"8","€100","57 washes","2% donated","72.6 ktons",1
1,3,"7","€165","32 washes","no donations","carbon neutral",0
1,3,"9","€35","7 washes","4.75% donated","37 ktons",0
1,4,"23","€100","57 washes","2% donated","37 ktons",1
1,4,"22","€165","7 washes","4.75% donated","carbon neutral",0
1,4,"24","€35","32 washes","no donations","72.6 ktons",0
1,5,"4","€100","32 washes","4.75% donated","37 ktons",0
1,5,"30","€165","7 washes","no donations","72.6 ktons",0
1,5,"11","€35","57 washes","4.75% donated","carbon neutral",1
1,6,"18","€100","7 washes","no donations","carbon neutral",0
1,6,"20","€165","32 washes","2% donated","37 ktons",0
1,6,"13","€35","7 washes","4.75% donated","72.6 ktons",1
1,7,"1","€100","57 washes","no donations","72.6 ktons",1
1,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0
1,7,"2","€35","32 washes","2% donated","carbon neutral",0
1,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0
1,8,"16","€35","32 washes","2% donated","72.6 ktons",1
1,8,"21","€35","7 washes","no donations","carbon neutral",0
1,9,"29","€100","32 washes","4.75% donated","carbon neutral",0
1,9,"6","€35","57 washes","no donations","72.6 ktons",1
1,9,"28","€35","7 washes","2% donated","37 ktons",0
1,10,"27","€100","7 washes","2% donated","37 ktons",0
1,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0
1,10,"25","€35","57 washes","no donations","carbon neutral",1
2,2,"12","€100","7 washes","no donations","72.6 ktons",0
2,2,"14","€165","57 washes","2% donated","carbon neutral",1
2,2,"15","€35","32 washes","no donations","37 ktons",0
2,4,"23","€100","57 washes","2% donated","37 ktons",0
2,4,"22","€165","7 washes","4.75% donated","carbon neutral",0
2,4,"24","€35","32 washes","no donations","72.6 ktons",1
2,5,"4","€100","32 washes","4.75% donated","37 ktons",0
2,5,"30","€165","7 washes","no donations","72.6 ktons",0
2,5,"11","€35","57 washes","4.75% donated","carbon neutral",1
2,7,"1","€100","57 washes","no donations","72.6 ktons",0
2,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0
2,7,"2","€35","32 washes","2% donated","carbon neutral",1
2,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0
2,8,"16","€35","32 washes","2% donated","72.6 ktons",0
2,8,"21","€35","7 washes","no donations","carbon neutral",1
2,9,"29","€100","32 washes","4.75% donated","carbon neutral",1
2,9,"6","€35","57 washes","no donations","72.6 ktons",0
2,9,"28","€35","7 washes","2% donated","37 ktons",0
2,10,"27","€100","7 washes","2% donated","37 ktons",0
2,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0
2,10,"25","€35","57 washes","no donations","carbon neutral",1
3,1,"5","€100","7 washes","2% donated","carbon neutral",0
3,1,"10","€165","57 washes","no donations","37 ktons",0
3,1,"13","€35","7 washes","4.75% donated","72.6 ktons",1
3,3,"8","€100","57 washes","2% donated","72.6 ktons",1
3,3,"7","€165","32 washes","no donations","carbon neutral",0
3,3,"9","€35","7 washes","4.75% donated","37 ktons",0
3,4,"23","€100","57 washes","2% donated","37 ktons",1
3,4,"22","€165","7 washes","4.75% donated","carbon neutral",0
3,4,"24","€35","32 washes","no donations","72.6 ktons",0
3,5,"4","€100","32 washes","4.75% donated","37 ktons",0
3,5,"30","€165","7 washes","no donations","72.6 ktons",0
3,5,"11","€35","57 washes","4.75% donated","carbon neutral",1
3,7,"1","€100","57 washes","no donations","72.6 ktons",1
3,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0
3,7,"2","€35","32 washes","2% donated","carbon neutral",0
3,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0
3,8,"16","€35","32 washes","2% donated","72.6 ktons",1
3,8,"21","€35","7 washes","no donations","carbon neutral",0
3,9,"29","€100","32 washes","4.75% donated","carbon neutral",0
3,9,"6","€35","57 washes","no donations","72.6 ktons",1
3,9,"28","€35","7 washes","2% donated","37 ktons",0
3,10,"27","€100","7 washes","2% donated","37 ktons",0
3,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0
3,10,"25","€35","57 washes","no donations","carbon neutral",1
